"","Total","Lofa","Monteserrado","Margibi","Nimba","Bomi","Bong","GrandKru","Maryland","RiverGee","RiverCess","Sinoe","Gbarpolu","GrandBassa","GrandCapeMount","GrandGedeh","day"
"2014-04-10",12,9,1,1,1,,,,,,,,,,,,130
"2014-04-17",27,,,,,,,,,,,,,,,,137
"2014-04-30",12,,,,,,,,,,,,,,,,150
"2014-06-16",22,14,8,,,,,,,,,,,,,,197
"2014-06-17",22,14,8,,,,,,,,,,,,,,198
"2014-06-22",26,18,10,,,,,,,,,,,,,,203
"2014-06-24",42,31,11,,,,,,,,,,,,,,205
"2014-06-25",54,38,16,,,,,,,,,,,,,,206
"2014-06-27",61,42,17,2,,,,,,,,,,,,,208
"2014-06-29",88,61,24,3,,,,,,,,,,,,,210
"2014-07-01",90,61,26,3,,,,,,,,,,,,,212
"2014-07-02",100,64,33,3,,,,,,,,,,,,,213
"2014-07-03",104,67,34,3,,,,,,,,,,,,,214
"2014-07-07",108,67,38,3,,,,,,,,,,,,,218
"2014-07-08",130,86,41,3,,,,,,,,,,,,,219
"2014-07-10",133,86,44,3,,,,,,,,,,,,,221
"2014-07-13",137,87,46,3,,1,,,,,,,,,,,224
"2014-07-17",164,104,55,3,,1,,,,,,,,,,,228
"2014-07-20",188,113,63,3,,2,4,,,,,,,,,,231
"2014-07-24",216,118,70,3,4,2,19,,,,,,,,,,235
"2014-07-26",288,142,89,4,4,13,35,,,,,,,,,,237
"2014-07-28",307,146,92,6,4,19,39,,,,,,,,,,239
"2014-08-02",426,228,116,,9,23,42,,,,,,,,,,244
"2014-08-04",471,239,128,9,13,23,53,,,,,,,,4,,246
"2014-08-06",508,255,13,9,,29,59,,137,,,,,,4,,248
"2014-08-07",546,268,155,13,16,29,59,,,,,,,,4,,249
"2014-08-12",579,294,114,13,10,31,,,,,1,,,,5,,254
"2014-08-15",721,369,181,13,17,41,80,,,,1,,,14,5,,257
"2014-08-17",826,,,,,41,87,,,,,,,15,8,18,259
"2014-08-18",862,419,233,30,25,41,89,,,,1,,,15,8,,260
"2014-08-20",964,419,256,75,48,41,100,,,,1,,,15,8,,262
"2014-08-25",1074,466,288,86,57,41,110,,,,1,1,,15,8,,267
"2014-08-28",1395,542,405,164,83,46,122,,,,1,2,,15,8,,270
"2014-09-01",1582,580,467,186,104,52,132,,,,1,2,,40,9,,274
"2014-09-02",1763,618,541,231,107,63,141,,,,1,2,,40,10,,275
"2014-09-03",1839,628,576,245,108,63,147,,,,1,2,,46,10,,276
"2014-09-04",1863,634,584,245,111,64,150,,,,1,2,,46,11,,277
"2014-09-05",1915,659,595,254,117,66,150,,,,1,2,,46,12,,278
"2014-09-06",1968,667,612,275,121,67,152,,,,1,2,,46,12,,279
"2014-09-07",2038,673,632,313,121,67,157,,,,1,2,,46,13,,280
"2014-09-08",2184,681,707,338,129,74,173,,,9,1,2,1,46,14,3,281
"2014-09-10",2407,692,849,391,134,77,179,,6,9,1,3,1,46,16,3,283
"2014-09-11",2527,699,917,410,141,81,194,,6,9,1,3,1,46,16,3,284
"2014-09-12",2602,701,966,422,141,82,198,,12,9,1,3,1,46,17,3,285
"2014-09-13",2663,707,983,445,149,83,204,,12,9,1,3,1,46,17,3,286
"2014-09-14",2712,714,1006,457,149,83,209,,6,9,1,3,1,54,17,3,287
"2014-09-15",2804,717,1059,457,171,84,222,,6,9,1,3,1,54,17,3,288
"2014-09-16",2923,726,1101,467,175,85,224,,8,12,1,6,1,97,17,3,289
"2014-09-17",3017,740,1154,482,175,85,229,3,8,12,1,6,1,101,17,3,290
"2014-09-18",3139,748,1182,500,217,85,242,0,8,12,10,9,1,105,17,3,291
"2014-09-19",3074,744,1154,490,199,85,239,0,8,12,10,9,1,103,17,3,292
"2014-09-20",3272,757,1232,536,223,85,273,0,8,12,10,9,1,106,17,3,293
"2014-09-21",3362,763,1282,551,223,85,275,14,8,12,10,9,1,109,17,3,294
"2014-09-23",3450,769,1320,567,224,85,300,15,8,12,10,9,1,110,17,3,296
"2014-09-24",3556,774,1360,586,243,85,311,16,8,17,10,9,1,116,17,3,297
"2014-09-25",3627,777,1394,612,243,85,316,16,8,17,10,9,1,119,17,3,298
